name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
aragorn14.kingston.net,21,21,21,21,37822859361,168,196,196,196,196,2177953337809371136,1568,786,3381,3803,12054,75504076503060232995340288,30424
aragorn173.acns.nwu.edu,21,21,20.166667,21,65345616,121,185,185,193.5,236,51141168287500,1161,18114,12859,10689.833333,18114,481211265413876948140032,64139
arcadia.ece.miami.edu,12,12,12,12,5159780352,108,240,240,240,240,2641807540224000000000,2160,669,1204,3517.888889,11473,102036899289791322522094927872,31661
arfai.tor.hookup.net,22,22,21.75,22,49887157760,174,184,184,184.25,186,1328121188223811584,1474,18114,4209,8407,18149,2558641627096944737132547670016,67256
arn22.pi.net,10,10,10,10,10000000,70,227,227,227,227,31058537410917804,1589,8677,8657,12928,46053,3801881091596604857085067264,90496
arnetpc-216.arn.net,22,22,22,22,5153632,110,184,184,184,184,210906087424,920,234,669,2841.2,7074,2358064685608632,14206
arthurh.tiac.net,6,6,6,6,1296,24,188,188,188,188,1249198336,752,39654,39654,29673.25,45966,353977702316423040,118693
as2511-11.sl002.cns.vt.edu,19,19,19,19,16983563041,152,236,236,236,236,9622679558836781056,1888,4393,6168,17607.5,52516,43811843759306886186365947478016,140860
as2511-11.sl011.cns.vt.edu,17,17,17,17,118587876497,153,217,217,217,217,1066934121900208291840,1953,25218,1414,6309,25218,1429398721130543071958545727488,56781
as3a-p05.mts.net,13,13,13,13,4826809,78,235,235,235,235,168425239515625,1410,46053,11996,14764.166667,46053,1101252603227279265366016,88585
ashap.port.net,19,19,19,19,893871739,133,191,191,191,191,9273284218074432,1337,18149,4209,9038.714286,18149,642068162383173150151016448,63271
asl.ise.vt.edu,7,7,7,7,5764801,56,184,184,184,184,1313840315232157696,1472,3985,3985,9540.875,40310,153730102080022739005258858496,76327
asn5.whidbey.net,2,2,5.166667,21,672,31,204,204,206.166667,217,76667370974208,1237,1713,4673,5806.833333,20100,1358406062536336605184,34841
astro1.panet.utoledo.edu,6,6,7.333333,18,30233088,66,184,184,189.555556,234,307438633764324900864,1706,53003,11853,20196.111111,53003,550443286433677116602211869357244416,181765
async1.async.duke.edu,10,10,10,10,10,10,201,201,201,201,201,201,3626,3626,3626,3626,3626,3626
async79.async.duke.edu,17,17,17,17,83521,68,193,193,193,193,1387488001,772,12859,12859,9704.25,18114,3563730883341090,38817
async99.async.duke.edu,18,18,18,18,34012224,108,209,209,209,209,83344647990241,1254,5866,786,2533,7280,1907412323470093312,15198
aurora.met.utah.edu,21,21,21,21,37822859361,168,234,234,234,234,8989320386052055040,1872,13372,4441,6893.625,25218,988553466627309256807809024,55149
aux29.plano.net,4,4,4,4,4096,24,235,235,235,235,168425239515625,1410,7089,786,2501.166667,7089,1857368950697732352,15007
aux39.plano.net,20,20,20,20,160000,80,183,183,183,183,1121513121,732,1204,3985,11571.25,40310,152016299660400,46285
b2127.nas.edu,15,15,15,15,11390625,90,192,192,192,192,50096498540544,1152,3938,3938,16596,84907,10475622610247098564608,99576
b37at2a-dyn-05.mit.edu,13,13,13,13,371293,65,191,191,191,191,254194901951,955,65536,4179,31507.8,84907,47960052295110230016,157539
ba67782.coba.unt.edu,12,12,12,12,35831808,84,205,205,205,205,15215177646953124,1435,669,4441,8026.285714,25218,16827938135793164630360064,56184
babrams.icsi.net,18,18,18,18,198359290368,162,189,189,189,189,307720364049353801728,1701,25814,31631,35007.222222,64939,23024718117462711607812682047945283993600,315065
